"year","fleet","0","1","2","3","4","5","6","7","8+","value"
2017,"C",34.399446057268,1803.59189852599,3272.98012423493,3546.69674849732,3457.06227735905,1159.53964330496,1571.05132251245,1088.15000560419,370.65281576854,"wbss_caton"
2017,"D",88.1143765215588,489.596713974728,65.0321869289219,1.37219556391181,0,0,0,0,0,"wbss_caton"
2017,"F",1.13440937706564,318.34378562841,1903.95841524898,3183.20091478532,9019.76863482907,4809.19907496778,3676.40306593627,1963.88572961595,1422.27799233399,"wbss_caton"
2018,"A",0,2.7582262330457,42.0488829901433,146.467164628068,416.108114175089,842.901900828264,372.19263153521,192.521662862047,148.735543504335,"wbss_caton"
2018,"C",0.0510265281723317,2213.62961847277,10077.1823865555,1349.83690097651,1486.76302324639,2269.5071499908,708.139177713773,439.173745012665,473.630273848912,"wbss_caton"
2018,"D",3.98493829256831,84.1824826439696,9.24224164883005,0.155683577332268,0,0,0,0,0,"wbss_caton"
2018,"F",5.84276972447895,695.247729853277,937.331633454551,3035.37073260399,2508.49716520606,7343.66579271341,2327.49008166053,1380.21536663108,762.028583052604,"wbss_caton"
2019,"A",0,549.020823117176,816.725767228231,768.413590869375,439.810245628164,1300.8351210929,1814.70669182992,519.04774128096,548.650495542117,"wbss_caton"
2019,"C",113.866052569967,1379.85014918207,4352.03088104647,1503.42847199906,625.940610278265,271.357013589395,164.125356440588,70.7849983400628,5.2487763994055,"wbss_caton"
2019,"D",68.8481281570812,37.0037436235043,16.9057211185415,3.96420948338457,0,0,0,0,0,"wbss_caton"
2019,"F",4.51615405941027,233.848564827419,1185.15725301732,1311.62655216022,1771.10367849292,1516.12252018609,2565.14266090431,705.0592217564,539.727394595909,"wbss_caton"
2020,"A",0,190.139753011623,408.552963073651,851.819065967494,1203.4172743197,206.914315825788,1960.37756163763,1029.97689564019,950.725802094031,"wbss_caton"
2020,"C",9.49617900335114,1506.58035552969,2984.30948548935,2241.19896709872,1655.62817599099,1442.48809692629,501.803139134906,597.192915014615,196.258595870607,"wbss_caton"
2020,"D",8.07469078956618,807.586217529161,192.175505088792,70.4713616657477,26.4142276953035,13.6582491065336,2.7700290211038,0,0.542741055736065,"wbss_caton"
2020,"F",0.532024514064999,65.1182336770736,173.222561573484,394.137471598924,487.412105508602,1005.35341840984,642.482055928161,950.430382440512,260.508746349343,"wbss_caton"
2021,"A",0,46.9628012475923,151.303161546802,417.138964775709,1171.21802041379,749.401405863546,327.951910143236,199.052161527,442.023826720954,"wbss_caton"
2021,"C",31.8665343669748,46.3933985753268,3795.64843429769,1409.84325222533,1257.08524418157,741.84325462168,637.110402835856,315.140416485471,353.689067965832,"wbss_caton"
2021,"D",0,295.654263174632,100.934886484666,0.428612181406594,0.0511020546880645,0,0,0,0,"wbss_caton"
2021,"F",0.869629781792807,14.4093508717435,123.734136870491,313.574967743101,331.341451005821,217.313308498,248.556658026392,175.316187775552,179.325309427106,"wbss_caton"
